merchant_name,total_sold_sum,n_product,merchant_price_min,merchant_price_max,merchant_price_avg,avg_revenue,market_share
ANGELVIN88,14,2,72000,118800,95400.0,1335600.0,0.01
Dinoto24,4,1,71400,71400,71400.0,285600.0,0.0
al-kahfi,2,1,240000,240000,240000.0,480000.0,0.0
Upin Ipin Mall,2,1,151400,151400,151400.0,302800.0,0.0
adaakami_shop,3,1,138900,138900,138900.0,416700.0,0.0
CENTRAL KIT,1,1,71900,71900,71900.0,71900.0,0.0
Tokosaudah_,5,1,69000,69000,69000.0,345000.0,0.0
CV BUMI JEJAK KREASI,6,3,83074,83758,83416.0,500496.0,0.0
Digi Case,2,1,89400,89400,89400.0,178800.0,0.0
Travel Essentials,1,1,499000,499000,499000.0,499000.0,0.0
allkomputer,7,1,99000,99000,99000.0,693000.0,0.0
angels_seller,1,1,131300,131300,131300.0,131300.0,0.0
CAHENOM ID,2,1,68800,68800,68800.0,137600.0,0.0
andhanashop,4,1,52250,52250,52250.0,209000.0,0.0
andung1shop,1,1,74500,74500,74500.0,74500.0,0.0
Tree Store,3,1,69000,69000,69000.0,207000.0,0.0
Tokokes-ID,2,1,249000,249000,249000.0,498000.0,0.0
BrotherProject,6,1,66500,66500,66500.0,399000.0,0.0
astast0re,1,1,369000,369000,369000.0,369000.0,0.0
avelia vista,3,1,59000,59000,59000.0,177000.0,0.0
badrusetore,1,1,194000,194000,194000.0,194000.0,0.0
bajunisa,5,1,80000,80000,80000.0,400000.0,0.0
Doll-A-Store,1,1,99000,99000,99000.0,99000.0,0.0
barangbagus,2,1,69000,69000,69000.0,138000.0,0.0
Toko Serba Tuku,2,1,140000,140000,140000.0,280000.0,0.0
Bosgentongs Shop,9,3,53500,110500,72833.33333333333,655500.0,0.0
benever,1,1,450000,450000,450000.0,450000.0,0.0
CV Mitra Berkat Hemat,3,1,51191,51191,51191.0,153573.0,0.0
Yokael Computer,1,1,59000,59000,59000.0,59000.0,0.0
Zoipedia,1,1,66669,66669,66669.0,66669.0,0.0
WIA Official,2,1,390000,390000,390000.0,780000.0,0.0
DGmob,16,2,55000,55000,55000.0,880000.0,0.0
DIGITAL_AKSESORIS,3,2,52000,77000,64500.0,193500.0,0.0
VIOTECH OFFICIAL,16,3,55000,55000,55000.0,880000.0,0.0
DIMANA AJA STORE,1,1,84584,84584,84584.0,84584.0,0.0
VWshop_,2,1,196300,196300,196300.0,392600.0,0.0
ValVel shopp,5,1,165000,165000,165000.0,825000.0,0.0
DEMOZ MARKET,3,1,50000,50000,50000.0,150000.0,0.0
Vian Tbag,1,1,118000,118000,118000.0,118000.0,0.0
D1TRUST Offcial Store,2,1,68000,68000,68000.0,136000.0,0.0
Vinix id,1,1,64900,64900,64900.0,64900.0,0.0
Virtual Digital,2,2,59000,59000,59000.0,118000.0,0.0
Voila Leather,2,1,400000,400000,400000.0,800000.0,0.0
Colorbox Indonesia,4,1,159900,159900,159900.0,639600.0,0.0
DOYSHOPJKT,4,2,115000,150000,132500.0,530000.0,0.0
Bit Fusion,8,2,59000,59000,59000.0,472000.0,0.0
CV Ratuna,2,2,53700,81300,67500.0,135000.0,0.0
Dalm Store,1,1,69500,69500,69500.0,69500.0,0.0
Cloudesub,2,1,51199,51199,51199.0,102398.0,0.0
Waroeng-DnD,2,1,52500,52500,52500.0,105000.0,0.0
Clavi id,1,1,280000,280000,280000.0,280000.0,0.0
Daz_Tas,1,1,55900,55900,55900.0,55900.0,0.0
City Shoppe,19,2,50000,50000,50000.0,950000.0,0.0
Chipscomp,17,2,59000,65000,62000.0,1054000.0,0.0
Ubi39,3,1,110000,110000,110000.0,330000.0,0.0
Deenetshop,8,2,110000,145000,127500.0,1020000.0,0.0
Departement Galeria,1,1,194000,194000,194000.0,194000.0,0.0
Dewexi Teknologi,1,1,127000,127000,127000.0,127000.0,0.0
DiKlikAja,2,1,250000,250000,250000.0,500000.0,0.0
Xalianda Official Store,1,1,84000,84000,84000.0,84000.0,0.0
Yambe Store,9,1,89000,89000,89000.0,801000.0,0.0
MEO Official,1,1,75000,75000,75000.0,75000.0,0.0
dhatugita,2,1,187200,187200,187200.0,374400.0,0.0
berryboy,2,1,65000,65000,65000.0,130000.0,0.0
lexus_official,12,1,54250,54250,54250.0,651000.0,0.0
"romanari,shop",1,1,265000,265000,265000.0,265000.0,0.0
riyanti33,2,1,136000,136000,136000.0,272000.0,0.0
rika-akana88,2,1,250000,250000,250000.0,500000.0,0.0
Acc Case Gadget,1,1,165000,165000,165000.0,165000.0,0.0
Adhisree Store,1,1,117000,117000,117000.0,117000.0,0.0
pasarlokal,3,1,67000,67000,67000.0,201000.0,0.0
paketgan,1,1,189000,189000,189000.0,189000.0,0.0
Adlia Store87,3,1,100000,100000,100000.0,300000.0,0.0
Aep Store's,1,1,85600,85600,85600.0,85600.0,0.0
opengskuyy,1,1,107000,107000,107000.0,107000.0,0.0
nuritoko_12,1,1,100000,100000,100000.0,100000.0,0.0
Aether Realm,8,2,83100,84300,83700.0,669600.0,0.0
memuOnline,1,1,51000,51000,51000.0,51000.0,0.0
